slug,title_ar,title_en,description_ar,description_en,portal,portal_url,ministry_ar,ministry_en,category_ar,category_en,tags,penalty_ar,penalty_en,related_slugs,last_updated
absher-account-registration,تسجيل وتفعيل حساب أبشر,Register and activate Absher account,أبشر هي البوابة الإلكترونية لخدمات وزارة الداخلية. هذا الدليل يشرح كيفية إنشاء حساب جديد وتفعيله خطوة بخطوة.,Absher is the official portal for Ministry of Interior services. This guide explains how to create and activate a new account step by step.,أبشر,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات عامة,General Services,"أبشر|info, مطلوب لكل الخدمات|warning, آخر تحديث: مارس 2026|warning",,,"register-national-address, renew-iqama",########
check-iqama-validity,الاستعلام عن صلاحية الإقامة عبر أبشر,Check Iqama validity via Absher,تتيح لك هذه الخدمة التحقق من تاريخ انتهاء إقامتك أو إقامة أحد مكفوليك إلكترونياً عبر أبشر، لتجنب الغرامات والتأخير.,"This service allows you to check the expiry date of your Iqama or your dependents' Iqama online via Absher, to avoid fines and delays.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الجوازات,Passport Services,"أبشر أفراد|info, استعلام فوري|success, آخر تحديث: مارس 2026|warning",,,"renew-iqama, dependents-fee-payment, exit-reentry-visa",########
check-traffic-violations,الاستعلام عن المخالفات المرورية برقم الهوية,Check traffic violations by ID number,تتيح لك هذه الخدمة الاستعلام عن جميع المخالفات المرورية المسجلة عليك أو على مركباتك، مع تفاصيل كل مخالفة وحالة السداد.,"This service allows you to check all traffic violations registered against you or your vehicles, with details of each violation and payment status.",أبشر أفراد / تطبيق المرور,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات المرور,Traffic Services,"أبشر / تطبيق المرور|info, استعلام فوري|success, آخر تحديث: مارس 2026|warning",,,"pay-traffic-fines, traffic-violation-objection, renew-driving-license",########
convert-visit-to-iqama,تحويل تأشيرة زيارة إلى إقامة,Convert visit visa to Iqama (residence permit),في بعض الحالات يمكن تحويل تأشيرة الزيارة إلى إقامة عمل أو إقامة مرافق دون الحاجة لمغادرة المملكة والعودة.,"In some cases, a visit visa can be converted to a work residence or dependent residence without leaving the Kingdom and returning.",أبشر أعمال / قوى,https://www.absher.sa,وزارة الداخلية / وزارة الموارد البشرية,Ministry of Interior / HRSD,خدمات الجوازات,Passport Services,"أبشر أعمال / قوى|info, شروط محددة|warning, آخر تحديث: مارس 2026|warning",,,"renew-iqama, family-visit-visa, exit-reentry-visa",########
dependents-fee-payment,سداد رسوم المرافقين والتابعين,Pay dependent and companion fees,تُفرض رسوم شهرية على المرافقين والتابعين للمقيمين في المملكة. يمكن سدادها عبر أبشر أو القنوات البنكية.,Monthly fees are imposed on dependents and companions of residents in the Kingdom. They can be paid via Absher or banking channels.,أبشر أفراد / البنوك,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الجوازات,Passport Services,"أبشر / سداد|info, رسوم شهرية|warning, آخر تحديث: مارس 2026|warning",عدم السداد يمنع تجديد الإقامة وإصدار التأشيرات,Non-payment prevents Iqama renewal and visa issuance,"renew-iqama, exit-reentry-visa",########
ejar-rental-contract,توثيق عقد إيجار إلكتروني عبر إيجار,Register rental contract via Ejar,يجب توثيق جميع عقود الإيجار السكنية والتجارية إلكترونياً عبر منصة إيجار. العقد الموثق مطلوب لإصدار رخص البلدية وفتح حسابات الخدمات.,All residential and commercial rental contracts must be registered electronically via the Ejar platform. A registered contract is required for municipal licenses and utility account setup.,منصة إيجار,https://www.ejar.sa,وزارة الشؤون البلدية والقروية والإسكان,"Ministry of Municipal, Rural Affairs and Housing",خدمات الإسكان,Housing Services,"منصة إيجار|info, إلزامي لكل عقد إيجار|warning, آخر تحديث: مارس 2026|warning",عقود الإيجار غير الموثقة لا تُقبل في المحاكم ولا تُستخدم لإصدار التراخيص,Unregistered rental contracts are not accepted in courts and cannot be used for license issuance,"issue-municipal-license, register-national-address",########
electricity-connection-sec,طلب إيصال كهرباء عبر الشركة السعودية للكهرباء,Request electricity connection via SEC,تتيح هذه الخدمة طلب إيصال التيار الكهربائي لعقار جديد أو نقل الحساب إلكترونياً عبر تطبيق أو موقع الشركة السعودية للكهرباء.,This service allows you to request electricity connection for a new property or transfer an account electronically via the Saudi Electricity Company app or website.,الشركة السعودية للكهرباء (SEC),https://www.se.com.sa,الشركة السعودية للكهرباء,Saudi Electricity Company (SEC),خدمات الإسكان,Housing Services,خدمة إلكترونية|info,,,"ejar-rental-contract, sakani-housing-support",2026-03-18
exit-reentry-visa,إصدار تأشيرة خروج وعودة عبر أبشر,Issue exit/re-entry visa via Absher,تتيح لك هذه الخدمة إصدار تأشيرة خروج وعودة لأحد المكفولين أو العمالة المنزلية إلكترونياً، مما يمكّنهم من السفر خارج المملكة والعودة خلال فترة محددة.,"This service allows you to issue an exit-reentry visa for a sponsored person or domestic worker electronically, enabling them to travel outside the Kingdom and return within a specified period.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الجوازات,Passport Services,"أبشر أفراد|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",عدم العودة خلال مدة التأشيرة قد يؤدي لإلغاء الإقامة,Failure to return within the visa period may result in Iqama cancellation,"renew-iqama, final-exit-visa, renew-passport-expat",########
extend-visit-visa,تمديد تأشيرة الزيارة عبر أبشر,Extend visit visa via Absher,تتيح هذه الخدمة للكفيل تمديد تأشيرة الزيارة العائلية أو الشخصية إلكترونياً عبر أبشر قبل انتهاء صلاحيتها.,This service allows the sponsor to extend a family or personal visit visa electronically via Absher before it expires.,أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات التأشيرات,Visa Services,يجب التمديد قبل الانتهاء|warning,,,"family-visit-visa, convert-visit-to-iqama",2026-03-18
family-visit-visa,إصدار تأشيرة زيارة عائلية عبر وزارة الخارجية,Issue family visit visa via MOFA,تتيح لك هذه الخدمة تقديم طلب تأشيرة زيارة عائلية لاستقدام أفراد عائلتك من خارج المملكة لزيارة مؤقتة.,This service allows you to apply for a family visit visa to bring your family members from outside the Kingdom for a temporary visit.,منصة التأشيرات الإلكترونية,https://visa.mofa.gov.sa,وزارة الخارجية,Ministry of Foreign Affairs,خدمات التأشيرات,Visa Services,"وزارة الخارجية|info, للمقيمين والمواطنين|success, آخر تحديث: مارس 2026|warning",عدم مغادرة الزائر قبل انتهاء التأشيرة يعرّض الكفيل لغرامة ومنع من إصدار تأشيرات مستقبلية,"If the visitor does not leave before the visa expires, the sponsor faces a fine and a ban on future visa issuance","exit-reentry-visa, renew-iqama",########
