slug,type,order,text_ar,text_en,amount,unit_ar
absher-account-registration,check,1,هوية وطنية أو إقامة سارية,Valid national ID or Iqama,,
absher-account-registration,check,2,رقم جوال سعودي مسجل باسمك,Saudi mobile number registered in your name,,
absher-account-registration,check,3,بريد إلكتروني فعّال,Active email address,,
absher-account-registration,fee,1,التسجيل,,0,مجاني
absher-account-registration,step,1,ادخل إلى موقع أبشر أو حمّل التطبيق,Go to Absher website or download the app,,
absher-account-registration,step,2,"اضغط ""مستخدم جديد"" واختر نوع الحساب (أفراد أو أعمال)",Click New User and choose account type,,
absher-account-registration,step,3,أدخل رقم الهوية أو الإقامة وتاريخ الميلاد,Enter ID/Iqama number and date of birth,,
absher-account-registration,step,4,أنشئ اسم مستخدم وكلمة مرور قوية,Create username and strong password,,
absher-account-registration,step,5,أدخل رمز التحقق المرسل لجوالك,Enter OTP sent to your mobile,,
absher-account-registration,step,6,فعّل الحساب عبر تطبيق نفاذ أو زيارة أحد أجهزة الخدمة الذاتية,Activate via Nafath app or self-service kiosk,,
absher-account-registration,trouble,1,لم يصلني رمز التحقق,تأكد أن رقم الجوال مسجل باسمك لدى شركة الاتصالات. إذا كان الرقم مسجلاً باسم شخص آخر، لن يصل الرمز.,,
absher-account-registration,trouble,2,ما الفرق بين أبشر أفراد وأبشر أعمال؟,أبشر أفراد للخدمات الشخصية (جوازات، مرور، أحوال مدنية). أبشر أعمال لأصحاب المنشآت (إقامات العمالة، تأشيرات).,,
absher-account-registration,trouble,3,نسيت كلمة المرور,"اضغط ""نسيت كلمة المرور"" في صفحة الدخول وأعد تعيينها عبر رمز التحقق المرسل لجوالك.",,
check-iqama-validity,check,1,حساب أبشر مفعّل,Active Absher account,,
check-iqama-validity,check,2,رقم الإقامة المراد الاستعلام عنها,Iqama number to check,,
check-iqama-validity,fee,1,الاستعلام,,0,مجاني
check-iqama-validity,step,1,سجّل الدخول إلى أبشر أفراد,Log in to Absher Individuals,,
check-iqama-validity,step,2,"اختر ""خدماتي"" ثم ""الجوازات""",Go to My Services → Passports,,
check-iqama-validity,step,3,"اختر ""الاستعلام عن صلاحية الإقامة""",Select Check Iqama Validity,,
check-iqama-validity,step,4,ستظهر بيانات الإقامة وتاريخ الانتهاء,Iqama details and expiry date will be displayed,,
check-iqama-validity,trouble,1,هل يمكن الاستعلام بدون أبشر؟,نعم، يمكن الاستعلام عبر موقع وزارة الموارد البشرية (خدمة استعلام عن موظف وافد) برقم الإقامة فقط.,,
check-iqama-validity,trouble,2,الإقامة منتهية — ماذا أفعل؟,جدّد الإقامة فوراً عبر أبشر لتجنب الغرامة (500 ر.س للمرة الأولى). إذا تجاوزت 3 أيام من الانتهاء ستُفرض الغرامة تلقائياً.,,
check-iqama-validity,trouble,3,هل يمكن الاستعلام عن إقامة شخص آخر؟,نعم، إذا كان مكفولاً لديك (عمالة منزلية أو تابعين) يمكنك رؤية صلاحية إقامتهم من حسابك.,,
check-iqama-validity,trouble,4,الإقامة تنتهي بعد أسبوع — هل أجدد الآن؟,نعم، يُنصح بالتجديد قبل الانتهاء بـ 3 أيام على الأقل. يمكنك التجديد إذا كانت الصلاحية أقل من 14 شهراً.,,
check-traffic-violations,check,1,حساب أبشر مفعّل أو تطبيق المرور,Active Absher account or Traffic app,,
check-traffic-violations,check,2,رقم الهوية أو الإقامة,National ID or Iqama number,,
check-traffic-violations,fee,1,الاستعلام,,0,مجاني
check-traffic-violations,step,1,سجّل الدخول إلى أبشر أفراد أو تطبيق المرور,Log in to Absher or Traffic app,,
check-traffic-violations,step,2,"اختر ""خدمات المرور"" ثم ""الاستعلام عن المخالفات""",Go to Traffic Services → Check Violations,,
check-traffic-violations,step,3,ستظهر قائمة بكل المخالفات مع التفاصيل,All violations listed with details,,
check-traffic-violations,step,4,يمكنك سداد أي مخالفة مباشرة من نفس الصفحة,You can pay any violation directly from the same page,,
check-traffic-violations,trouble,1,المخالفة لا تظهر في أبشر,قد تحتاج 48-72 ساعة لتظهر بعد التسجيل. جرّب أيضاً تطبيق المرور أو منصة إيفاء.,,
check-traffic-violations,trouble,2,مخالفة مسجلة وأنا لم أكن السائق,قدّم اعتراضاً خلال 30 يوماً عبر أبشر أو تطبيق كلنا أمن.,,
check-traffic-violations,trouble,3,هل هناك خصم على السداد المبكر؟,نعم، بعض المخالفات عليها خصم 25% عند السداد خلال 30 يوماً من التسجيل.,,
check-traffic-violations,trouble,4,كيف أعرف إذا عندي مخالفات ساهر؟,مخالفات ساهر تظهر ضمن المخالفات المرورية في أبشر. تصلك رسالة SMS عند تسجيل أي مخالفة جديدة.,,
convert-visit-to-iqama,check,1,تأشيرة زيارة سارية المفعول,Valid visit visa,,
convert-visit-to-iqama,check,2,جواز سفر ساري لمدة 6 أشهر على الأقل,Passport valid for at least 6 months,,
convert-visit-to-iqama,check,3,صاحب عمل مستعد لتقديم طلب النقل (لتأشيرة العمل),Employer ready to submit transfer request (for work visa),,
convert-visit-to-iqama,check,4,فحص طبي وتأمين صحي,Medical exam and health insurance,,
convert-visit-to-iqama,fee,1,رسوم التحويل,,2000,ر.س تقريباً
convert-visit-to-iqama,fee,2,إصدار الإقامة,,650,ر.س
convert-visit-to-iqama,step,1,صاحب العمل يتقدم بطلب تحويل الزيارة إلى عمل عبر قوى,Employer submits conversion request via Qiwa,,
convert-visit-to-iqama,step,2,بعد الموافقة، يصدر تأشيرة عمل داخلية,"After approval, internal work visa is issued",,
convert-visit-to-iqama,step,3,الزائر يُجري الفحص الطبي ويحصل على تأمين صحي,Visitor completes medical exam and obtains health insurance,,
convert-visit-to-iqama,step,4,صاحب العمل يُصدر الإقامة عبر أبشر أعمال,Employer issues Iqama via Absher Business,,
convert-visit-to-iqama,step,5,يتم إصدار هوية مقيم جديدة,New resident ID is issued,,
convert-visit-to-iqama,trouble,1,هل يمكن تحويل كل أنواع تأشيرات الزيارة؟,لا، بعض أنواع التأشيرات لا تقبل التحويل (مثل تأشيرات السياحة). تأشيرات الزيارة العائلية والتجارية عادة تقبل.,,
